wyId,shortName,firstName,middleName,lastName,birthDate,currentTeamId,born,passport
287082,W. Zenga,Walter,,Zenga,1960-04-28,0,380,380
134151,Del Bosque,Vicente,,Del Bosque,1950-12-23,0,724,724
136612,Carlos Queiroz,Carlos Manuel,,Brito Leal Queiróz,1953-03-01,0,508,620
333560,B. Hollerbach,Bernd,,Hollerbach,1969-12-08,0,276,276
333641,Hierro,Fernando ,,Ruiz Hierro,1968-03-23,0,724,724
21155,W. Mazzarri,Walter,,Mazzarri,1961-10-01,3185,380,380
296896,M. Baum,Manuel,,Baum,1979-08-30,0,276,276
89543,J. Sampaoli,Jorge Luis,,Sampaoli Moya,1960-03-13,5655,32,32
99428,A. Nawałka,Adam,,Nawałka,1957-10-23,13510,616,616
25926,J. Gourvennec,Jocelyn,,Gourvennec,1972-03-22,3785,250,250
107408,Tae-Yong Shin,Tae-Yong,,Shin,1970-10-11,0,410,410
149026,T. Pulis,Tony,,Pulis,1958-01-16,1620,1013,1013
272299,J. Nagelsmann,Julian,,Nagelsmann,1987-07-23,2482,276,276
268775,F. de Boer,Frank,,de Boer,1970-05-15,58165,528,528
140684,H. Renard,Hervé,,Renard,1968-09-30,0,250,250
537833,Paquito Ortiz,Francisco,,Ortiz Rivas,1969-08-12,714,724,724
20481,R. Donadoni,Roberto,,Donadoni,1963-09-09,0,380,380
20747,M. Oddo,Massimo,,Oddo,1976-06-14,0,380,380
275283,Z. Zidane,Zinédine,,Zidane,1972-06-23,675,250,250
19925,A. Breitenreiter,André,,Breitenreiter,1973-10-02,0,276,276
360105,A. Iordănescu,Anghel,,Iordănescu,1950-05-04,0,642,642
268779,R. Koeman,Ronald,,Koeman,1963-03-21,0,528,528
101547,L. Spalletti,Luciano,,Spalletti,1959-03-07,3161,380,380
8235,D. Moyes,David ,,Moyes,1963-04-25,0,1002,1002
9054,M. Hughes,Mark,,Hughes,1963-11-01,0,1013,1013
4784,Eusebio Sacristán,Eusebio,,Sacristán Mena,1964-04-13,756,724,724
8214,M. Appleton,Michael ,,Appleton,1975-12-04,8514,826,826
90948,H. Gómez,Hernán Darío,,Gómez Jaramillo,1956-02-03,0,170,170
434992,D. Unsworth,David,,Unsworth,1973-10-16,39800,826,826
211238,B. Génésio,Bruno,,Génésio,1966-09-01,3766,250,250
26272,P. Hinschberger,Philippe,,Hinschberger,1959-11-19,3798,250,250
3630,Joaquín Caparrós,Joaquín ,,de Jesús Caparrós Camino,1955-10-13,0,724,724
54577,Å. Hareide,Åge Fridtjof,,Hareide,1953-09-23,0,578,578
546966,M. Krstajić,Mladen,,Krstajić,1974-03-04,17322,70,688
134976,E. Hamrén,Erik,,Hamrén,1957-06-27,0,752,752
134365,J. Löw,Joachim,,Löw,1960-02-03,3148,276,276
210116,G. Gasperini,Gian Piero,,Gasperini,1958-01-26,3172,380,380
25842,C. Galtier,Christophe,,Galtier,1966-08-28,3776,250,250
3427,D. Simeone,Diego Pablo,,Simeone,1970-04-28,679,32,32
190909,W. Sagnol,Willy,,Sagnol,1977-03-18,0,250,250
139142,Ó. Tabárez,Óscar Washington,,Tabárez Silva,1947-03-03,0,858,858
447924,D. Tedesco,Domenico,,Tedesco,1985-09-12,0,276,380
275291,Rubén Uría,Juan Rubén,,Uría Corral,1968-01-30,0,724,724
381291,P. Clement,Paul,,Clement,1972-01-08,0,826,826
136636,M. O'Neill,Michael,,O'Neill,1969-07-05,0,1014,1014
167044,Pablo Machín,Pablo Javier,,Machín Díez,1975-04-07,0,724,724
137379,J. Pekerman,José Néstor,,Pekerman,1949-09-03,0,32,32
83888,R. De Zerbi,Roberto,,De Zerbi,1979-06-06,3315,380,380
210120,S. Mihajlović,Siniša,,Mihajlović,1969-02-20,3166,191,688
21603,R. Maran,Rolando,,Maran,1963-07-14,3173,380,380
93112,Javi Gracia,Javier,,Gracia Carlos,1970-05-01,1644,724,724
149135,T. Laurey,Thierry,,Laurey,1964-02-14,3779,250,250
391523,H. Wolf,Hannes,,Wolf,1981-04-15,2450,276,276
5149,Manolo Márquez,Manuel,,Márquez Roca,1968-09-07,0,724,724
261661,C. Bucchi,Christian,,Bucchi,1977-02-13,3219,380,380
269087,C. Ancelotti,Carlo,,Ancelotti,1959-06-10,3187,380,380
444778,David Gallego,David,,Gallego Rodríguez,1972-01-26,763,724,724
228969,P. Dupraz,Pascal,,Dupraz,1962-09-19,0,250,250
292972,José Ángel Ziganda,José Ángel,,Ziganda Lacunza,1966-10-01,0,724,724
267136,Guardiola,Josep ,,Guardiola i Sala,1971-01-18,1625,724,724
272970,L. D'Anna,Lorenzo,,D'Anna,1972-01-29,0,380,380
8512,M. O'Neill,Martin,,O'Neill,1952-03-01,1642,1014,1014
264893,S. Cherchesov,Stanislav Salamovich,,Cherchesov,1963-09-02,0,643,643
134090,B. van Marwijk,Bert,,van Marwijk,1952-05-19,0,528,528
14977,C. Streich,Christian,,Streich,1965-06-11,2453,276,276
71037,Marco Silva,Marco Alexandre,,Saraiva da Silva,1977-07-12,1623,620,620
8605,Roberto Martínez,Roberto,,Martínez Montoliú,1973-07-13,0,724,724
8329,P. Lambert,Paul ,,Lambert,1969-08-07,1634,1002,1002
70160,Leonardo Jardim,José Leonardo,,Nunes Alves Sousa Jardim,1974-08-01,19830,862,620
333782,C. Shakespeare,Craig,,Shakespeare,1963-10-26,0,826,826
210119,E. Di Francesco,Eusebio,,Di Francesco,1969-09-08,0,380,380
101575,L. Slutsky,Leonid,,Slutsky,1971-05-04,24,643,643
26243,S. Moulin,Stéphane,,Moulin,1967-08-04,3799,250,250
251044,D. López,Luis Diego,,López Breijo,1974-08-22,15633,858,858
20665,S. Pioli,Stefano,,Pioli,1965-10-20,0,380,380
51239,J. Andersson,Janne,,Andersson,1962-09-29,0,752,752
40532,Tite,Adenor Leonardo,,Bacchi,1961-05-25,6380,76,76
638,P. Bosz,Peter,,Bosz,1963-11-21,2446,528,528
270285,J. Gasset,Jean-Louis,,Gasset,1953-12-09,3782,250,250
117648,L. Zubeldía,Luis Francisco,,Zubeldía,1981-01-13,0,32,32
21414,D. Nicola,Davide,,Nicola,1973-03-05,0,380,380
5326,Asier Garitano,Asier,,Garitano Aguirrezábal,1969-12-06,0,724,724
357389,L. Semplici,Leonardo,,Semplici,1967-07-18,3204,380,380
218066,Óscar García,Óscar,,García Junyent,1973-04-26,0,724,724
198390,I. Juric,Ivan,,Juric,1975-08-25,0,191,191
8093,C. Hughton,Chris,,Hughton,1958-12-11,1651,826,372
137521,Fernando Santos,Fernando Manuel,,Fernandes da Costa Santos,1954-10-19,0,620,620
90162,E. Berizzo,Manuel Eduardo,,Berizzo,1969-11-13,0,32,32
268998,J. Kozák,Jan,,Kozák,1954-04-17,0,705,703
337062,Javier Cabello,Javier Antonio,,Cabello Rubio,1974-07-20,0,724,724
420376,A. Hofschneider,André,,Hofschneider,1970-06-10,0,276,276
267555,I. Tudor,Igor,,Tudor,1978-04-16,3163,191,191
210252,M. Sarri,Maurizio,,Sarri,1959-01-10,1610,380,380
272869,A. Conte,Antonio,,Conte,1969-07-31,0,380,380
7973,A. Pardew,Alan ,,Pardew,1961-07-18,0,826,826
206965,M. Wilmots,Marc,,Wilmots,1969-02-22,0,56,56
15470,H. Herrlich,Heiko,,Herrlich,1971-12-03,0,276,276
20407,G. Gattuso,Ivan Gennaro,,Gattuso,1978-01-09,3157,380,380
264939,José Miguel Campos,José Miguel,,Campos Rodríguez,1966-08-12,0,724,724
26213,M. Der Zakarian,Michel ,,Der Zakarian,1963-02-18,3787,51,51
7845,A. Wenger,Arsène,,Wenger,1949-10-22,0,250,250
3485,Mendilibar,José Luis,,Mendilibar Etxebarria,1961-03-14,701,724,724
3454,Míchel,José Miguel ,,González Martín del Campo,1963-03-23,0,724,724
