wyId,shortName,firstName,middleName,lastName,birthDate,born,passport
384946,Antonio Mateu,Antonio Miguel,,Mateu Lahoz,1977-03-12,724,724
387273,F. Willenborg,Frank,,Willenborg,1979-02-10,276,276
385911,A. Marriner,Andre,,Marriner,1971-01-01,826,826
396785,N. Baroni,Niccolò,,Baroni,1983-05-06,380,380
377256,M. Di Bello,Marco,,Di Bello,1981-07-17,380,380
398916,Alfonso Baena,Alfonso,,Baena Espejo,,724,724
385473,Ignacio Iglesias,Ignacio,,Iglesias Villanueva,1975-06-01,724,724
398196,Mohamed Abdulla Hassan Mohd,Mohamed Abdulla,,Hassan Mohd,,784,784
395069,Juan Barranco,Juan Carlos,,Barranco Trejo,,724,724
395169,Miguel Ortiz,Miguel Ángel,,Ortiz Arias,1984-11-23,724,724
385548,S. Waschitzki,Sven,,Waschitzki,,276,276
420139,D. Rocca,Domenico,,Rocca,1984-02-25,380,380
377233,A. Damato,Antonio,,Damato,1972-08-15,380,380
380889,J. Pitti,Jhon,,Pitti,,591,591
398962,Rubén Ruipérez,Rubén,,Ruipérez Marín,1991-01-04,724,724
377261,F. La Penna,Federico,,La Penna,1983-08-07,380,380
384920,M. Jug,Matej,,Jug,1980-09-25,705,705
457142,J. Pitty,John Francis,,Pitty,,591,591
384943,S. Vinčić,Slavko,,Vinčić,1979-11-25,705,705
385910,R. West,Richard,,West,1975-02-25,826,826
383493,C. Gittelmann,Christian,,Gittelmann,1983-02-12,276,276
420893,Mohamed Massat,Mohamed,,Massat,1994-01-30,724,724
385501,M. Grosbost,Mathieu,,Grosbost,1978-02-19,250,250
384917,W. Collum,William,,Collum,1979-01-18,1002,1002
395195,Miguel Bosch,Miguel,,Bosch Domenech,1980-12-23,724,724
383355,L. Koslowski,Lasse,,Koslowski,,276,276
395217,Iosu Galech,Iosu,,Galech Apezteguía,1990-12-12,724,724
381832,José Fernández,José Manuel,,Fernández Miranda,1976-03-12,724,724
395178,Francisco Fernández,Francisco Javier,,Fernández Vidal,1985-05-12,724,724
379388,Carlos Del Cerro,Carlos,,Del Cerro Grande,1976-03-13,724,724
395326,Francisco Miralles,Francisco,,Miralles Selma,1987-01-24,724,724
384962,Pau Cebrián,Pau,,Cebrián Devis,,724,724
385919,M. Scholes,Mark,,Scholes,,826,826
378232,A. Cunha,Andrés,,Cunha,1976-09-08,858,858
384376,M. Klasenius,Mathias,,Klasenius,1975-04-25,752,752
381828,A. Averianov,Anton,,Averianov,1973-01-31,643,643
384982,S. Karasev,Sergey,,Karasev,1979-06-12,643,643
385523,F. Benchabane,Faouzi,,Benchabane,1989-08-24,250,250
381843,F. Schneider,Frank,,Schneider,1979-05-11,250,250
377246,F. Pasqua,Fabrizio,,Pasqua,1982-11-07,380,380
395083,Iván González,Iván,,González González,1981-09-01,724,724
395104,Leandro Carbajales,Leandro,,Carbajales Gómez,1991-06-16,724,724
385705,P. Tierney,Paul,,Tierney,,826,826
456269,N. Hauata,Norbert,,Hauata,1979-06-08,1012,1012
377269,I. Pezzuto,Ivano,,Pezzuto,1984-02-13,380,380
379461,A. Giallatini,Alessandro,,Giallatini,,380,380
377215,B. Kuipers,Björn,,Kuipers,1973-03-28,528,528
383886,S. Lupp,Stefan,,Lupp,1978-09-09,276,276
518502,D. Imperiale,Davide,,Imperiale,,380,380
378977,H. Zakrani,Hicham,,Zakrani,1979-09-04,250,250
381933,M. Zürcher,Marco ,,Zürcher ,,756,756
395085,José Sánchez,José María,,Sánchez Martínez,1983-10-03,724,724
384980,M. Ristić,Milovan,,Ristić,1974-05-01,688,688
379019,Teodoro Sobrino,Teodoro,,Sobrino Magán,,724,724
377209,N. Rizzoli,Nicola,,Rizzoli,1971-10-05,380,380
393623,G. Colella,Giovanni,,Colella,,380,380
395408,Álvaro Varón,Álvaro,,Varón Aceitón,1993-10-30,724,724
395331,Alexander González,Alexander,,González González,1988-12-09,724,724
395267,César Díez,César,,Díez Cano,1985-05-02,724,724
395099,Alexis Pulido,Alexis Carlos,,Pulido Santana,1986-07-08,724,724
395351,Josep Subirats,Josep,,Subirats Matamoros,1986-02-28,724,724
395402,Rafael Sánchez,Rafael,,Sánchez López,1991-01-29,724,724
396648,P. Dei Giudici,Pietro,,Dei Giudici,1980-09-27,380,380
384995,C. Çakιr,Cüneyt,,Çakιr,1976-11-23,792,792
384973,D. Aytekin,Deniz,,Aytekin,1978-07-21,276,276
388405,G. Vuoto,Gianluca,,Vuoto,,380,380
396657,L. Mondin,Luca,,Mondin,,380,380
505545,P. Capaldo,Pasquale,,Capaldo,,380,380
386719,T. Robinson,Tim,,Robinson,,826,826
388415,A. Tegoni,Alberto,,Tegoni,1979-12-25,380,380
385814,M. Emmer,Michael,,Emmer,1971-02-22,276,276
385791,H. Ocak,Huseyin,,Ocak,1981-05-16,250,250
379444,S. Stegemann,Sascha,,Stegemann,1984-12-06,276,276
479882,Adrián Martínez,Adrián,,Martínez Miguel,,724,724
377271,R. Abisso,Rosario,,Abisso,1985-11-22,380,380
381858,B. Brand,Benjamin,,Brand,1989-07-10,276,276
387276,S. Jablonski,Sven,,Jablonski,1990-04-13,276,276
420591,José Pardeiro,José Alberto,,Pardeiro Puente,1988-07-21,724,724
385712,P. Bankes,Peter,,Bankes,,826,826
393624,A. Rapuano,Antonio,,Rapuano,1985-04-10,380,380
531809,Inmaculada Prieto Martínez,Inmaculada,,Prieto Martínez,1993-04-19,724,724
383336,B. Cortus,Benjamin,,Cortus,1981-12-13,276,276
378994,Juan Martínez,Juan,,Martínez Munuera,1982-07-13,724,724
383902,S. Storks,Sören,,Storks,,276,276
395105,Fernando Tresaco,Fernando,,Tresaco Escabosa,,724,724
377244,D. Doveri,Daniele,,Doveri,1977-12-10,380,380
407901,B. Gassama,Bakary Papa,,Gassama,1979-02-10,270,270
381854,Santiago Jaime,Santiago,,Jaime Latre,1979-08-11,724,724
395443,José Martínez,José David,,Martínez Montalbán,1993-11-04,724,724
381894,Ángel Nevado,Ángel,,Nevado Rodríguez,,724,724
385482,Y. Rouinsard,Yohann,,Rouinsard,1975-04-10,250,250
411256,Waleed Ahmed Ali,Waleed,,Ahmed Ali,,729,729
385789,T. Philippe,Tugdual,,Philippe,1974-06-10,250,250
384931,C. Turpin,Clément,,Turpin,1982-05-16,250,250
388333,R. East,Roger,,East,1965-05-12,826,826
381857,D. Schaal,Dominik,,Schaal,1985-07-25,276,276
395096,Fernando Bueno,Fernando,,Bueno Prieto,1988-10-03,724,724
396788,L. Pillitteri,Luigi,,Pillitteri,1985-02-27,380,380
411262,Ghead Grisha,Ghead,,Grisha,1976-02-29,818,818
384804,O. Hațegan,Ovidiu,,Hațegan,1980-07-14,642,642
385537,B. Lepaysant,Benjamin,,Lepaysant,,250,250
385915,N. Swarbrick,Neil,,Swarbrick,1970-07-27,826,826
385534,J. Stinat,Jeremy,,Stinat,,250,250
399066,P. De Meo,Pasquale,,De Meo,1982-06-15,380,380
385520,A. Kherradji,Abdelatif,,Kherradji,,250,250
395226,Iván Muñoz,Iván,,Muñoz Pérez,1981-11-20,724,724
388410,S. Longo,Salvatore,,Longo,,380,380
381849,M. Achmüller,Marco,,Achmüller,1979-10-17,276,276
378051,N. Pitana,Néstor Fabián,,Pitana,1975-06-17,32,32
380580,A. Rasulov,Abdukhamidullo,,Rasulov,1976-01-10,860,860
459836,José Guzmán,José Luis,,Guzmán Mansilla,1995-11-02,724,724
393630,O. Muto,Oreste,,Muto,,380,380
379464,M. Vivenzi,Mauro,,Vivenzi,,380,380
385527,A. Petit,Aurélien,,Petit,1987-07-17,250,250
383491,C. Dingert,Christian,,Dingert,1980-07-14,276,276
395166,Hugo López,Hugo José,,López Puerta,1978-05-16,724,724
456216,S. Massey,Sian,,Massey,1985-10-22,826,826
384889,D. Cann,Darren,,Cann,1969-01-22,826,826
378038,H. Maidana,Hernán,,Maidana,1972-02-14,32,32
378231,N. Taran,Nicolás,,Taran,1980-08-27,858,858
384970,L. Manganelli,Lorenzo,,Manganelli,,380,380
377219,P. Valeri,Paolo,,Valeri,1974-05-16,380,380
385923,E. Smart,Edward,,Smart,,826,826
378060,J. Belatti,Juan Pablo,,Belatti,1979-04-15,32,32
377267,D. Chiffi,Daniele,,Chiffi,1984-12-14,380,380
378218,C. de la Cruz,Cristian,,de la Cruz,,170,170
395076,Ramón Arias,Ramón,,Arias Madrid,1978-04-09,724,724
384923,Alberto Undiano,Alberto,,Undiano Mallenco,1973-10-08,724,724
395077,Sergio Usón,Sergio,,Usón Rosel,1983-12-26,724,724
385916,M. Jones,Mike,,Jones,1968-04-18,826,826
384975,G. Dobosz,Giulio,,Dobosz,,380,380
384954,A. Gautier,Antony,,Gautier,1977-11-19,250,250
395458,Juan Marmolejo,Juan José,,Marmolejo Martínez,,724,724
393613,M. Zappatore,Marco,,Zappatore,,380,380
388360,M. Pelgrim,Marcel,,Pelgrim,,276,276
379347,Juan Yuste,Juan Carlos,,Yuste Jiménez,1975-09-25,724,724
384806,A. Tudor,Alexandru Dan,,Tudor,1971-09-13,642,642
395302,Jerónimo Montes,Jerónimo,,Montes García Navas,1990-07-29,724,724
407503,R. Achik,Redouane,,Achik,1972-04-21,504,504
396643,M. Citro,Marco,,Citro,,380,380
395234,Álvaro López,Álvaro,,López Parra,1987-03-12,724,724
395091,José Naranjo,José Enrique,,Naranjo Pérez,,724,724
379890,C. Rockwell,Corey,,Rockwell,1974-02-26,840,840
384974,M. Tonolini,Mauro,,Tonolini,,380,380
384808,O. Șovre,Octavian,,Șovre,1973-07-19,642,642
379380,L. Stien,Laurent,,Stien,1973-11-17,250,250
385003,R. Vukan,Robert,,Vukan,,705,705
385469,S. Thielert,Sascha,,Thielert,1980-01-25,276,276
377264,G. Calvarese,Giampaolo,,Calvarese,1976-02-20,380,380
378113,P. González,Pablo,,González,,32,32
393636,S. Liberti,Stefano,,Liberti,,380,380
385909,M. Dean,Mike,,Dean,1968-06-02,826,826
384890,P. Kirkup,Peter James,,Kirkup,1970-08-22,826,826
385486,W. Lavis,William,,Lavis,1973-08-21,250,250
395092,Sergio Pérez,Sergio,,Pérez Muley,1983-06-15,724,724
378948,B. Millot,Benoît,,Millot,1982-01-10,250,250
407514,E. Samba,El Hadji Malick,,Samba,,686,686
395379,Albert Catalá,Albert,,Catalá Ferrán,1989-03-19,724,724
420559,Miguel García,Miguel,,García Aceña,1985-04-04,724,724
396780,M. Piccinini,Marco,,Piccinini,1983-09-29,380,380
385515,C. Dos Santos,Cédric,,Dos Santos,,250,250
385484,S. Jochem,Stéphane,,Jochem,1978-09-16,250,250
386732,M. Wilkes,Matthew,,Wilkes,,826,826
407519,Z. Siwela,Zakhele Thusi,,Siwela,,710,710
398923,Pablo González,Pablo,,González Fuertes,1980-06-08,724,724
384932,M. Mažić,Milorad,,Mažić,1973-03-23,688,688
384409,D. Wärnmark,Daniel,,Wärnmark,1974-12-30,752,752
398936,Rubén Becerril,Rubén,,Becerril Gómez,,724,724
383338,C. Dietz,Christian,,Dietz,1984-07-27,276,276
395101,Javier Martínez,Javier,,Martínez Nicolás,,724,724
394731,L. Rossi,Luigi,,Rossi,1982-07-27,380,380
378950,Alejandro Hernández,Alejandro José,,Hernández Hernández,1982-11-10,724,724
420679,Daniel Yuste,Daniel,,Yuste Querol,1986-05-30,724,724
411261,J. Birumushahu,Jean-Claude,,Birumushahu,1972-02-13,108,108
381475,J. Aguilar,Joel,,Aguilar,,558,558
379058,J. Brooks,John,,Brooks,,826,826
381936,C. Hatzidakis,Constantine,,Hatzidakis,,826,826
460924,Iván Pablo,Iván,,Pablo Gómez,,724,724
379587,S. Schärer,Sandro,,Schärer,1988-06-06,756,756
393462,M. Vernice,Mathieu,,Vernice,,250,250
377231,L. Banti,Luca,,Banti,1974-03-27,380,380
377242,L. Nasca,Luigi,,Nasca,1977-11-15,380,380
384963,Miguel Martínez,Miguel,,Martínez Munuera,,724,724
395221,Carlos Carbonell,Carlos Alberto,,Carbonell Hernández,1984-08-03,724,724
457041,M. Roeleveld,Marcel,,Roeleveld,,528,528
384933,H. Göçek,Hüseyin,,Göçek,1976-11-30,792,792
420812,Víctor García,Víctor,,García Verdura,1994-10-12,724,724
398935,César Noval,César Manuel,,Noval Font,,724,724
393614,L. Illuzzi,Lorenzo,,Illuzzi,1983-06-21,380,380
385913,A. Garratt,Andy,,Garratt,,826,826
381926,A. Costanzo,Alessandro,,Costanzo,,380,380
395307,Xabier Gómez,Xabier,,Gómez Landazábal,1988-02-25,724,724
407930,S. Lount,Simon,,Lount,,554,554
381867,S. Klossner,Stephan,,Klossner,1981-05-30,756,756
384900,T. Schiffner,Thorsten,,Schiffner,1975-05-14,276,276
393625,D. Di Iorio,Damiano,,Di Iorio,,380,380
378959,M. Passeri,Matteo,,Passeri,,380,380
395275,Jorge Díaz,Jorge,,Díaz Escudero,1985-01-16,724,724
395316,Sergio Espasandín,Sergio,,Espasandín Cores,1990-01-21,724,724
384987,S. Marciniak,Szymon,,Marciniak,1981-01-07,616,616
388418,R. Di Vuolo,Rodolfo,,Di Vuolo,,380,380
459927,M. Schmidt,Markus,,Schmidt,1973-08-31,276,276
385914,S. Hooper,Simon,,Hooper,,826,826
383351,A. Sather,Alexander,,Sather,,276,276
385492,S. Denis,Sébastien,,Denis,1975-05-24,250,250
398913,David Medié,David,,Medié Jiménez,1984-08-24,724,724
384978,S. Beck,Simon,,Beck,1972-05-15,826,826
396652,L. Gori,Lorenzo,,Gori,,380,380
381917,L. Betts,Lee,,Betts,,826,826
395393,Luis Montero,Luis Miguel,,Montero de Lerma,1991-07-15,724,724
395059,José Gallego,José,,Gallego García,1976-08-17,724,724
388409,S. Ranghetti,Sergio,,Ranghetti,,380,380
380103,R. Sato,Ryuji,,Sato,1977-04-16,392,392
395274,Salvador Lax,Salvador,,Lax Franco,1991-01-22,724,724
393557,C. Carbone,Ciro,,Carbone,,380,380
381873,J. Pacelli,Julien,,Pacelli,,250,250
395078,Ricardo De Burgos,Ricardo,,De Burgos Bengoetxea,1986-03-16,724,724
383187,V. Toth,Vencel,,Toth,1978-03-24,348,348
385554,F. Heft,Florian,,Heft,1990-01-03,276,276
385508,Y. Boutry,Yannick,,Boutry,,250,250
395171,Alexandre Alemán,Alexandre,,Alemán Pérez,1987-06-07,724,724
385543,M. Schüller,Markus,,Schüller,1981-07-31,276,276
381841,C. Gringore,Cyril,,Gringore,,250,250
384373,J. Eriksson,Jonas,,Eriksson,1974-03-28,752,752
395167,Javier Iglesias,Javier,,Iglesias Villanueva,1983-04-23,724,724
378256,A. Kulbakov,Aliaksei,,Kulbakov,1979-12-27,112,112
456293,Jerson dos Santos,Jerson Emiliano,,dos Santos,1983-05-01,24,24
380597,R. Irmatov,Ravshan,,Irmatov,1977-08-09,860,860
485237,M. Bresmes,Marco,,Bresmes,,380,380
459601,M. Lombardi,Michele,,Lombardi,,380,380
420944,Carlos Fernández,Carlos,,Fernández Buergo,1994-12-20,724,724
379916,J. Mora,Juan Carlos,,Mora,,188,188
385521,B. Pages,Benjamin,,Pages,,250,250
384960,S. Child,Stephen,,Child,1973-08-21,826,826
385525,R. Galibert,Romain,,Galibert,,250,250
384916,N. Golubev,Nikolay,,Golubev,1970-11-09,643,643
386325,K. Abed,Karim,,Abed,,250,250
380581,Nawaf Shukralla,Nawaf Abdulla,,Ghayyath Shukralla,1976-10-13,48,48
379140,R. Montero,Ricardo,,Montero,,188,188
518515,A. Cipressa,Alessandro,,Cipressa,,380,380
390509,T. Harrington,Tony,,Harrington,,826,826
378145,Marcelo Van Gasse,Marcelo,,Carvalho Van Gasse,1976-03-09,76,76
459981,Samir Amar,Samir,,Amar Ahmed,1993-06-14,724,724
383498,G. Schenone,Giorgio,,Schenone,,380,380
396654,G. Baccini,Giovanni,,Baccini,,380,380
495428,A. Santoro,Antonio,,Santoro,,380,0
381822,G. Ring,Gyorgy,,Ring,1981-03-18,348,348
381829,T. Kalugin,Tikhon,,Kalugin,1974-12-03,643,643
383901,M. Hacker,Markus,,Hacker,1974-04-17,276,276
377248,P. Giacomelli,Piero,,Giacomelli,1977-11-06,380,380
378957,B. Dankert,Bastian,,Dankert,1980-06-09,276,276
384936,M. Gräfe,Manuel,,Gräfe,1973-09-21,276,276
395295,Iván Caparrós,Iván,,Caparrós Hernández,1990-05-02,724,724
395086,Francisco Hernández,Francisco José,,Hernández Maeso,1988-08-31,56,724
388346,G. Paradis,Guillaume,,Paradis,,250,250
393620,D. Martinelli,Daniele,,Martinelli,1983-11-04,380,380
420564,Manuel García,José Manuel,,García Gómez,1991-01-21,724,724
385549,T. Siewer,Thorben,,Siewer,1987-07-05,276,276
378169,W. Roldán,Wilmar Alexander,,Roldán Pérez,1980-01-24,170,170
385793,D. Zitouni,Djemel,,Zitouni,,250,250
380666,M. Mansouri,Mohammad Reza,,Mansouri,,364,364
383891,T. Gorniak,Thomas,,Gorniak,1980-07-25,276,276
383201,I. Hussin,Ian,,Hussin,,826,826
392649,F. Connor,Frank,,Connor,,1002,1002
388407,F. Meli,Filippo,,Meli,,380,380
395089,Óscar Sauleda,Óscar,,Sauleda Torrent,1984-11-13,724,724
383361,F. Badstübner,Florian,,Badstübner,,276,276
388365,J. Neitzel,Jan Clemens,,Neitzel,,276,276
385720,A. Madley,Andy,,Madley,,826,826
377265,D. Minelli,Daniele,,Minelli,1982-07-09,380,380
377255,E. Abbattista,Eugenio,,Abbattista,1982-12-28,380,380
385536,J. Pignard,Jérémie,,Pignard,,250,250
384925,Roberto Alonso,Roberto,,Alonso Fernández,1976-09-18,724,724
383960,Taleb Salem Al Marri,Taleb Salem,,Al Marri,,634,634
385539,W. Delajod,Willy,,Delajod,,250,250
388417,A. Lo Cicero,Alessandro,,Lo Cicero,,380,380
384957,David Fernández,David,,Fernández Borbalan,1973-05-30,724,724
381848,N. Rainville,Nicolas,,Rainville,1982-03-18,250,250
377249,G. Aureliano,Gianluca,,Aureliano,1980-02-29,380,380
378976,A. Delerue,Amaury,,Delerue,1977-06-06,250,250
381877,S. Burt,Stuart,,Burt,,826,826
380642,R. Sokhandan,Reza Ebrahim,,Sokhandan,1974-01-24,364,364
395822,M. Abid Charef,Mehdi,,Abid Charef,,12,12
407813,T. Bamlak,Tessema Weyesa,,Bamlak,1980-12-30,231,231
394726,F. Fourneau,Francesco,,Fourneau,1984-07-11,380,380
385472,C. Bandurski,Christian,,Bandurski,1982-12-22,276,276
395254,José Gallego Gambín,José Joaquín,,Gallego Gambín,1987-01-20,724,724
378955,E. Beitinger,Eduard,,Beitinger,1983-11-01,276,276
377206,G. Rocchi,Gianluca,,Rocchi,1973-08-25,380,380
395074,Pedro Sureda,Pedro,,Sureda Cuenca,1979-10-21,724,724
385710,K. Stroud,Keith,,Stroud,,826,826
377228,D. Orsato,Daniele,,Orsato,1975-11-23,380,380
377251,M. Mariani,Maurizio,,Mariani,1982-02-25,380,380
381847,M. Lesage,Mikael,,Lesage,1975-01-19,250,250
456654,T. Makasini,Tevita,,Makasini,1976-11-26,776,776
384986,A. Viala,Alexandre,,Viala,1975-05-01,250,250
383895,A. Blos,Arno,,Blos,1979-05-03,276,276
395103,Iker De Francisco,Iker,,De Francisco Grijalba,,724,724
395311,Alejandro Sánchez,Alejandro,,Sánchez Alba,1990-02-03,724,724
387968,Francisco Martín,Francisco Javier,,Martín García,,724,724
378204,Sandro Ricci,Sandro,,Meira Ricci,1974-11-19,76,76
395107,Ibai Rezola,Ibai,,Rezola Etxeberría,1991-08-10,724,724
381595,J. Marrufo,Jair,,Marrufo,1977-06-17,840,840
390533,N. Grudzinski,Norbert,,Grudzinski,1977-05-12,276,276
379381,S. Moreira,Sébastien,,Moreira,1977-05-27,250,250
398961,José Alcoba,José,,Alcoba Rodríguez,,724,724
395102,Aitor Villate,Aitor,,Villate Martínez,,724,724
377260,F. Paolo Saia,Francesco,,Paolo Saia,1985-02-05,380,380
395176,Raúl Chavet,Raúl,,Chavet García,1980-12-14,724,724
381481,F. Anderson,Frank,,Anderson,1975-11-11,840,840
379443,R. Madley,Robert,,Madley,1985-10-06,826,826
386027,J. Linington,James,,Linington,,826,826
380659,Mohamed Ahmed Yousuf Al Hammadi,Mohamed Ahmed Yousuf,,Al Hammadi,,784,784
377254,C. Gavillucci,Claudio,,Gavillucci,1979-08-03,380,380
386718,A. Nunn,Adam,,Nunn,,826,826
398931,José Munuera,José Luis,,Munuera Montero,1984-05-19,724,724
395372,Pere Barceló,Pere,,Barceló Roca,1984-05-15,724,724
380638,Mohammed Abdulla Hassan Mohammed,Mohammed Abdulla Hassan,,Mohammed,,784,784
460026,S. Desiage,Sébastien,,Desiage,1974-02-04,250,250
385489,F. Aubin,Floris,,Aubin,1978-09-18,250,250
385496,T. Léonard,Thomas,,Léonard,1981-08-28,250,250
377247,D. Massa,Davide,,Massa,1981-07-15,380,380
393634,A. Balice,Antonello,,Balice,1984-09-17,380,380
383893,T. Gerach,Timo,,Gerach,1986-11-30,276,276
383490,R. Hartmann,Robert,,Hartmann,1979-09-08,276,276
385718,D. Coote,David,,Coote,,826,826
384929,E. Zeinstra,Erwin,,Zeinstra,1977-01-31,528,528
398919,Daniel Trujillo,Daniel Jesús,,Trujillo Suárez,1983-01-15,724,724
395235,Ricardo Escudero,Ricardo,,Escudero Marín,1984-11-25,724,724
395391,Francisco Sáez,Francisco,,Sáez Vital,1985-10-23,724,724
420863,Francisco Alonso,Francisco David,,Alonso Ramírez,,724,724
384894,S. Lannoy,Stéphane,,Lannoy,1969-09-18,250,250
398956,Iñigo Prieto,Iñigo,,Prieto López de Ceraín,,724,724
378240,J. Zorrilla,Juan,,Zorrilla,,600,600
380885,J. Zumba,Juan Francisco,,Zumba,1982-09-19,222,222
378970,M. Petersen,Martin,,Petersen,1985-02-28,276,276
383061,P. Kralovec,Pavel,,Kralovec,1977-08-16,203,203
381927,Jesús Gil,Jesús,,Gil Manzano,1984-02-04,724,724
384981,T. Listkiewicz,Tomasz,,Listkiewicz,,616,616
381878,P. Jeanne,Philippe,,Jeanne,1980-11-11,250,250
395250,Aimar Velasco,Aimar,,Velasco Arbaiza,1988-11-18,724,724
385551,R. Schröder,Robert,,Schröder,1985-09-14,276,276
395067,Sebastián Ripoll,Sebastián,,Ripoll Solano,1979-01-28,724,724
377210,P. Tagliavento,Paolo,,Tagliavento,1972-09-19,380,380
393592,V. Mastrodonato,Vito,,Mastrodonato,,380,380
395072,Alfonso Costoya,Alfonso,,Costoya Rodríguez,,724,724
395257,Guillermo Conejero,Guillermo,,Conejero Sánchez,1988-07-25,724,724
393622,M. Serra,Marco,,Serra,1982-09-09,380,380
378956,R. Foltyn,Rafael,,Foltyn,1985-06-21,276,276
388408,G. Tasso,Gianmattia,,Tasso,,380,380
395084,Fernando Román,Fernando,,Román Román,1988-02-23,724,724
384148,M. Hernández,Miguel Ángel,,Hernández Paredes,1977-06-18,484,484
407714,R. Delpech,Romain,,Delpech,1979-12-21,250,250
384926,P. Sokolnicki,Pawel,,Sokolnicki,,616,616
393638,M. Bottegoni,Matteo,,Bottegoni,,380,380
385494,A. Castro,Alexandre,,Castro,1970-12-10,250,250
396811,C. Mouysset,Christophe,,Mouysset,,250,250
384945,R. Di Fiore,Riccardo,,Di Fiore,,380,380
388406,G. Peretti,Giorgio,,Peretti,,380,380
381861,C. Rocca,Claudio La,,Rocca,,380,380
395090,Ángel Hernández,Ángel,,Hernández Lorenzo,1985-11-19,724,724
381852,L. Probert,Lee,,Probert,1972-08-13,826,826
