refId,name,birth_day,born,passport
395059,José Gallego,1976-08-17,724,724
388409,S. Ranghetti,,380,380
380103,R. Sato,1977-04-16,392,392
395274,Salvador Lax,1991-01-22,724,724
393557,C. Carbone,,380,380
381873,J. Pacelli,,250,250
395078,Ricardo De Burgos,1986-03-16,724,724
383187,V. Toth,1978-03-24,348,348
385554,F. Heft,1990-01-03,276,276
385508,Y. Boutry,,250,250
395171,Alexandre Alemán,1987-06-07,724,724
385543,M. Schüller,1981-07-31,276,276
381841,C. Gringore,,250,250
384373,J. Eriksson,1974-03-28,752,752
395167,Javier Iglesias,1983-04-23,724,724
378256,A. Kulbakov,1979-12-27,112,112
456293,Jerson dos Santos,1983-05-01,24,24
380597,R. Irmatov,1977-08-09,860,860
485237,M. Bresmes,,380,380
459601,M. Lombardi,,380,380
420944,Carlos Fernández,1994-12-20,724,724
379916,J. Mora,,188,188
385521,B. Pages,,250,250
384960,S. Child,1973-08-21,826,826
385525,R. Galibert,,250,250
384916,N. Golubev,1970-11-09,643,643
386325,K. Abed,,250,250
380581,Nawaf Shukralla,1976-10-13,48,48
379140,R. Montero,,188,188
518515,A. Cipressa,,380,380
390509,T. Harrington,,826,826
378145,Marcelo Van Gasse,1976-03-09,76,76
459981,Samir Amar,1993-06-14,724,724
383498,G. Schenone,,380,380
396654,G. Baccini,,380,380
495428,A. Santoro,,380,0
381822,G. Ring,1981-03-18,348,348
381829,T. Kalugin,1974-12-03,643,643
383901,M. Hacker,1974-04-17,276,276
377248,P. Giacomelli,1977-11-06,380,380
378957,B. Dankert,1980-06-09,276,276
384936,M. Gräfe,1973-09-21,276,276
395295,Iván Caparrós,1990-05-02,724,724
395086,Francisco Hernández,1988-08-31,56,724
388346,G. Paradis,,250,250
393620,D. Martinelli,1983-11-04,380,380
420564,Manuel García,1991-01-21,724,724
385549,T. Siewer,1987-07-05,276,276
378169,W. Roldán,1980-01-24,170,170
385793,D. Zitouni,,250,250
380666,M. Mansouri,,364,364
383891,T. Gorniak,1980-07-25,276,276
383201,I. Hussin,,826,826
392649,F. Connor,,1002,1002
388407,F. Meli,,380,380
395089,Óscar Sauleda,1984-11-13,724,724
383361,F. Badstübner,,276,276
388365,J. Neitzel,,276,276
385720,A. Madley,,826,826
377265,D. Minelli,1982-07-09,380,380
377255,E. Abbattista,1982-12-28,380,380
385536,J. Pignard,,250,250
384925,Roberto Alonso,1976-09-18,724,724
383960,Taleb Salem Al Marri,,634,634
385539,W. Delajod,,250,250
388417,A. Lo Cicero,,380,380
384957,David Fernández,1973-05-30,724,724
381848,N. Rainville,1982-03-18,250,250
377249,G. Aureliano,1980-02-29,380,380
378976,A. Delerue,1977-06-06,250,250
381877,S. Burt,,826,826
380642,R. Sokhandan,1974-01-24,364,364
395822,M. Abid Charef,,12,12
407813,T. Bamlak,1980-12-30,231,231
394726,F. Fourneau,1984-07-11,380,380
385472,C. Bandurski,1982-12-22,276,276
395254,José Gallego Gambín,1987-01-20,724,724
378955,E. Beitinger,1983-11-01,276,276
377206,G. Rocchi,1973-08-25,380,380
395074,Pedro Sureda,1979-10-21,724,724
385710,K. Stroud,,826,826
377228,D. Orsato,1975-11-23,380,380
377251,M. Mariani,1982-02-25,380,380
381847,M. Lesage,1975-01-19,250,250
456654,T. Makasini,1976-11-26,776,776
384986,A. Viala,1975-05-01,250,250
383895,A. Blos,1979-05-03,276,276
395103,Iker De Francisco,,724,724
395311,Alejandro Sánchez,1990-02-03,724,724
387968,Francisco Martín,,724,724
378204,Sandro Ricci,1974-11-19,76,76
395107,Ibai Rezola,1991-08-10,724,724
381595,J. Marrufo,1977-06-17,840,840
390533,N. Grudzinski,1977-05-12,276,276
379381,S. Moreira,1977-05-27,250,250
398961,José Alcoba,,724,724
395102,Aitor Villate,,724,724
377260,F. Paolo Saia,1985-02-05,380,380
395176,Raúl Chavet,1980-12-14,724,724
381481,F. Anderson,1975-11-11,840,840
379443,R. Madley,1985-10-06,826,826
386027,J. Linington,,826,826
380659,Mohamed Ahmed Yousuf Al Hammadi,,784,784
377254,C. Gavillucci,1979-08-03,380,380
386718,A. Nunn,,826,826
398931,José Munuera,1984-05-19,724,724
395372,Pere Barceló,1984-05-15,724,724
380638,Mohammed Abdulla Hassan Mohammed,,784,784
460026,S. Desiage,1974-02-04,250,250
385489,F. Aubin,1978-09-18,250,250
385496,T. Léonard,1981-08-28,250,250
377247,D. Massa,1981-07-15,380,380
393634,A. Balice,1984-09-17,380,380
383893,T. Gerach,1986-11-30,276,276
383490,R. Hartmann,1979-09-08,276,276
385718,D. Coote,,826,826
384929,E. Zeinstra,1977-01-31,528,528
398919,Daniel Trujillo,1983-01-15,724,724
395235,Ricardo Escudero,1984-11-25,724,724
395391,Francisco Sáez,1985-10-23,724,724
420863,Francisco Alonso,,724,724
384894,S. Lannoy,1969-09-18,250,250
398956,Iñigo Prieto,,724,724
378240,J. Zorrilla,,600,600
380885,J. Zumba,1982-09-19,222,222
378970,M. Petersen,1985-02-28,276,276
383061,P. Kralovec,1977-08-16,203,203
381927,Jesús Gil,1984-02-04,724,724
384981,T. Listkiewicz,,616,616
381878,P. Jeanne,1980-11-11,250,250
395250,Aimar Velasco,1988-11-18,724,724
385551,R. Schröder,1985-09-14,276,276
395067,Sebastián Ripoll,1979-01-28,724,724
377210,P. Tagliavento,1972-09-19,380,380
393592,V. Mastrodonato,,380,380
395072,Alfonso Costoya,,724,724
395257,Guillermo Conejero,1988-07-25,724,724
393622,M. Serra,1982-09-09,380,380
378956,R. Foltyn,1985-06-21,276,276
388408,G. Tasso,,380,380
395084,Fernando Román,1988-02-23,724,724
384148,M. Hernández,1977-06-18,484,484
407714,R. Delpech,1979-12-21,250,250
384926,P. Sokolnicki,,616,616
393638,M. Bottegoni,,380,380
385494,A. Castro,1970-12-10,250,250
396811,C. Mouysset,,250,250
384945,R. Di Fiore,,380,380
388406,G. Peretti,,380,380
381861,C. Rocca,,380,380
395090,Ángel Hernández,1985-11-19,724,724
381852,L. Probert,1972-08-13,826,826
384893,T. Chapron,1972-04-23,250,250
385737,C. Kavanagh,,826,826
387280,B. Kempkes,,276,276
378952,A. Taylor,1978-10-20,826,826
563351,J. Martinez Munuera,,724,724
385801,J. Miguelgorry,1976-05-22,250,250
379385,H. Henschel,1972-12-27,276,276
385796,H. Ben El Hadj,1978-05-30,250,250
398952,José Escuela,,724,724
395094,Abraham Domínguez,1986-10-12,724,724
385920,S. Ledger,,826,826
393631,A. Tolfo,,380,380
396642,S. Giovane,1977-11-03,380,380
420952,B. Dechepy,,250,250
385529,J. Brisard,1986-03-24,250,250
393627,N. Pagliardini,,380,380
395363,José Sánchez,1991-07-06,724,724
384988,J. Collin,,826,826
395079,Alfonso Vicente,1983-04-05,724,724
378126,M. Espinosa,1972-05-06,858,858
396641,D. Bindoni,,380,380
395194,Antonio Monter,1987-10-16,724,724
395305,Julio Mena,1985-12-18,724,724
395309,Óscar Martínez,1985-08-05,724,724
396639,S. Bellutti,,380,380
384959,G. Kleve,1976-10-17,276,276
385741,D. Cook,,826,826
379753,K. Haglund,1977-05-27,578,578
385528,F. Letexier,,250,250
385498,A. Perreau Niel,1983-02-15,250,250
377263,F. Maresca,1981-04-12,380,380
84796,S. Gheorghe,1976-03-07,642,642
386030,S. Martin,,826,826
395073,Óscar Herrero,1978-03-20,724,724
385922,D. Eaton,,826,826
395162,Antonio Santos,1980-10-14,724,724
393559,F. Valeriani,,380,380
383899,D. Schlager,1989-12-08,276,276
393594,A. Giua,1988-03-11,380,380
383339,T. Stein,1982-04-21,276,276
384950,B. Duran,1975-09-26,792,792
379749,S. Moen,1979-01-22,578,578
378243,E. Cardozo,,600,600
384942,Marcos Álvarez,,724,724
384909,S. van Roekel,1974-03-28,528,528
384999,A. Marrazzo,,380,380
420829,Alberto Lou,1992-09-22,724,724
395184,David Gálvez,1981-08-25,724,724
395097,Antonio Artacho,1987-03-15,724,724
381840,M. Fritz,1977-10-03,276,276
380884,M. Geiger,1974-08-25,840,840
385792,F. Haquette,1975-08-15,250,250
384888,M. Atkinson,1971-03-31,826,826
378945,D. Siebert,1984-05-04,276,276
395068,Julio Leo,1979-10-16,724,724
377211,P. van Boekel,1975-09-19,528,528
385798,J. Aube,1986-05-08,250,250
420991,G. Opromolla,,380,380
381846,E. Danizan,1979-02-26,250,250
379474,Eduardo Prieto,1981-05-17,724,724
380657,Hassan Suqatari Al Mahri,,784,784
393616,A. Tardino,1984-02-02,380,380
384993,Roberto Díaz,1976-04-29,724,724
395248,Pedro Muñoz,1983-12-13,724,724
395106,Joan Méndez,,724,724
381851,J. Moss,1970-10-18,826,826
384921,D. Skomina,1976-08-05,705,705
386746,D. Robathan,,826,826
377241,M. Guida,1981-06-07,380,380
385001,A. Sidiropoulos,1979-08-09,300,300
395215,Germán Cid,1987-07-17,724,724
385006,D. England,,826,826
385704,K. Friend,1971-07-08,826,826
384350,R. Slysko,1973-08-04,703,703
396660,E. Caliari,,380,380
378151,J. Bascuñán,1978-06-11,152,152
383900,T. Reichel,,276,276
379052,B. Zogaj,1979-09-28,756,756
392689,César García,,724,724
383481,M. Pickel,1975-04-08,276,276
407732,D. Camara,1983-08-20,686,686
385005,G. Beswick,,826,826
393555,Pablo Fernández,1982-07-10,724,724
385962,G. Eltringham,,826,826
385999,R. Ellis,,826,826
396656,A. Santoro,,380,380
384924,Carlos Velasco,1971-03-16,724,724
377268,D. Ghersini,1985-04-09,380,380
385912,S. Attwell,1982-10-06,826,826
387272,R. Kampka,1982-02-21,276,276
395192,Juan Campos,1989-10-16,724,724
420996,José Martínez,,724,724
395342,Carlos Calderiña,,724,724
395298,Juan Peña,1985-04-30,724,724
384947,Raúl Cabañero,,724,724
377270,J. Sacchi,1984-10-13,380,380
395081,Jorge Bueno,,724,724
395238,David Recio,1989-07-29,724,724
377243,A. Di Paolo,1977-10-21,380,380
395064,Ignacio Rubio,,724,724
420618,Pablo Brea,1982-11-11,724,724
384990,B. Madden,,1002,1002
385921,M. Perry,,826,826
398945,Javier Alberola,1991-06-22,724,724
379038,A. Crispo,,380,380
386623,A. Davies,,826,826
380616,J. Saidov,,860,860
395093,Rubén Ávalos,1987-09-12,724,724
377252,M. Fabbri,1983-12-08,380,380
396655,D. Cecconi,,380,380
517393,M. Scatragli,,380,380
383185,V. Kassai,1975-09-10,348,348
395486,Marcos Cerdán,,724,724
384953,R. Buquet,1977-01-29,250,250
378947,S. Luzi,1974-12-18,250,250
419657,M. Sinn,1979-02-02,276,276
393591,G. Luciano,,380,380
378212,E. Cáceres,,600,600
395354,Alejandro Muñiz,1991-05-24,724,724
383889,C. Fischer,1970-08-04,276,276
388411,F. Posado,,380,380
420995,Mario Melero,1979-07-02,724,724
393628,E. Prenna,,380,380
420665,Daniel Palencia,1992-01-30,724,724
385013,J. Praprotnik,,705,705
395062,José González,1974-09-06,724,724
395210,Raúl González,1988-10-11,724,724
388345,R. Landry,,250,250
385509,F. Boudikian,,250,250
383884,M. Borsch,1977-03-16,276,276
385490,M. Lombard,,250,250
396651,S. Giovani,,380,380
393456,S. Longo,,250,250
385547,C. Günsch,,276,276
407737,J. Sikazwe,1979-05-26,894,894
385955,J. Simpson,1975-05-13,826,826
385504,G. Lang,,250,250
395061,José Matías,1973-08-10,724,724
392692,F. Preti,,380,380
381863,J. Wicht,,756,756
384895,F. Cano,1973-07-23,250,250
456280,K. Zitouni,,1012,1012
407722,M. Diedhiou,,686,686
396661,T. Villa,,380,380
384898,F. Brych,1975-08-03,276,276
377257,L. Pairetto,1984-04-14,380,380
384969,Jon Núñez,,724,724
395100,Albert Ávalos,1986-04-22,724,724
384903,D. McGraith,1980-10-12,372,372
420691,Daniel Baiges,1989-11-26,724,724
458045,A. González,,862,862
387277,J. Pfeifer,,276,276
557224,M. Javier,,724,724
386323,M. Berchebru,,250,250
394732,L. Marinelli,1984-11-06,380,380
385497,S. Palhies,1977-11-11,250,250
395163,David Pinto,1981-08-20,724,724
392330,D. Đurđević,1973-03-25,688,688
387274,R. Kempter,1988-03-22,276,276
393618,F. Fiore,1982-11-03,380,380
383887,T. Christ,1976-06-26,276,276
383334,C. Leicher,1978-08-21,276,276
395066,Andoni Huerga,,724,724
384955,N. Danos,,250,250
377232,P. Mazzoleni,1974-06-12,380,380
388914,A. Grare,,250,250
393587,F. Piscopo,1986-11-03,380,380
378144,Emerson De Carvalho,1972-06-24,76,76
384145,M. Torrentera,1971-02-25,484,484
379045,Diego Barbero,,724,724
395088,César Soto,1980-06-17,724,724
395271,Alberto González,1988-07-14,724,724
456340,Mario Díaz,,724,724
377237,R. Pinzani,1978-04-21,380,380
381617,M. Clattenburg,1975-03-13,826,826
420032,A. Chiocchi,,380,380
395318,Sergio Escriche,1989-03-07,724,724
393151,M. McDonough,,826,826
395205,Víctor Rives,1983-04-21,724,724
420994,Manuel Torre,,724,724
385799,B. Jouannaud,,250,250
383492,E. Liberatore,,380,380
460048,Jaime Ruiz,1987-02-22,724,724
387146,B. Steinhaus,1979-03-24,276,276
457643,C. Rossi,,380,380
379752,F. Andås,1975-09-26,578,578
384891,M. Mullarkey,1970-05-03,826,826
396653,A. Di Martino,1987-12-22,380,380
398960,Iván Hernández,,724,724
377258,G. Manganiello,1981-11-28,380,380
379067,T. Mokrusch,,203,203
457938,L. Lanotte,,380,380
385918,A. Halliday,,826,826
379973,C. Ramos,1983-12-15,484,484
385517,G. Pasqualotti,,250,250
381844,G. Debart,,250,250
