team,opp,match_id,shot,goal,assist,pass,pass_accurate,tackle,accel,counter,opportunity,keypass,own_goal,interception,smart,clearance,cross,air_duel,air_duel_won,gk_leave_line,gk_save_attempt,throw,corner,team_opp,shot_opp,goal_opp,assist_opp,pass_opp,pass_accurate_opp,tackle_opp,accel_opp,counter_opp,opportunity_opp,keypass_opp,own_goal_opp,interception_opp,smart_opp,clearance_opp,cross_opp,air_duel_opp,air_duel_won_opp,gk_leave_line_opp,gk_save_attempt_opp,throw_opp,corner_opp,win
Portugal,Iran,2057964,10,1,0,580,520,5,15,38,7,1,0,27,0,8,16,46,21,0,0,24,5,Iran,5,1,0,192,154,5,4,16,4,1,0,36,0,20,7,47,18,6,2,12,1,False
Portugal,Morocco,2057962,8,1,1,361,286,6,10,16,4,3,0,56,0,21,8,53,21,4,2,13,5,Morocco,15,0,0,444,365,9,7,9,14,7,0,37,0,12,23,53,29,1,0,32,7,True
Portugal,Spain,2057960,5,3,0,349,300,4,8,18,4,2,0,25,0,7,12,29,15,3,3,17,4,Spain,11,3,1,735,689,5,6,4,11,4,0,33,0,11,13,28,12,0,2,21,5,False
Portugal,Uruguay,2058002,18,1,1,538,455,6,14,0,10,0,0,39,0,9,41,49,20,1,2,20,10,Uruguay,6,2,2,238,185,9,5,11,5,1,0,56,0,32,9,49,21,6,3,16,2,False
Russia,Croatia,2058012,11,5,1,363,274,8,4,13,10,3,0,70,0,32,11,72,32,1,1,22,6,Croatia,16,6,2,715,594,7,10,10,12,7,0,50,0,6,33,75,35,3,6,31,8,False
Russia,Egypt,2057956,12,2,2,385,311,6,18,2,7,0,0,57,0,23,24,59,30,1,0,27,7,Egypt,12,1,0,420,348,4,7,13,10,5,1,62,0,21,18,62,26,5,1,29,4,True
Russia,Saudi Arabia,2057954,11,5,2,311,243,5,13,24,11,3,0,33,0,12,12,54,40,0,0,29,6,Saudi Arabia,7,0,0,516,455,11,5,10,2,1,0,36,0,16,4,60,14,0,2,30,2,True
Russia,Spain,2058004,5,5,0,261,197,6,9,8,4,2,1,61,0,30,10,61,30,1,3,27,5,Spain,22,3,0,1078,994,4,6,4,14,5,0,34,0,8,17,58,25,0,0,34,6,True
Russia,Uruguay,2057958,3,0,0,327,271,6,9,15,2,1,1,33,0,18,10,38,21,0,4,14,2,Uruguay,12,2,0,466,405,1,4,16,11,2,0,20,0,5,10,42,16,2,0,23,4,False
Saudi Arabia,Egypt,2057959,18,2,1,632,559,6,18,32,15,6,0,34,0,12,22,23,11,1,0,14,7,Egypt,7,1,1,343,277,7,5,22,6,3,0,45,0,20,10,21,10,1,2,16,2,True
Saudi Arabia,Russia,2057954,7,0,0,516,455,11,5,10,2,1,0,36,0,16,4,60,14,0,2,30,2,Russia,11,5,2,311,243,5,13,24,11,3,0,33,0,12,12,54,40,0,0,29,6,False
Saudi Arabia,Uruguay,2057957,7,0,0,553,482,5,8,18,5,2,0,48,0,9,15,21,7,3,3,23,4,Uruguay,13,1,1,473,410,5,3,18,11,6,0,32,0,13,11,19,9,4,3,21,3,False
Senegal,Colombia,2058001,5,0,0,268,219,2,14,0,4,0,0,34,0,16,8,46,19,3,0,19,1,Colombia,3,1,1,414,350,9,5,4,3,2,0,24,0,8,5,39,16,2,2,25,3,False
Senegal,Japan,2057999,12,2,1,320,257,2,5,2,12,3,0,35,0,11,22,57,28,1,1,22,5,Japan,7,2,2,425,364,4,1,3,7,2,0,29,0,26,10,53,22,1,4,16,2,False
Senegal,Poland,2057996,7,1,0,349,283,5,8,18,8,4,0,42,0,12,11,42,21,3,3,15,3,Poland,8,0,1,357,302,7,4,1,6,3,1,25,0,9,11,31,12,0,0,16,3,True
Serbia,Brazil,2057982,10,0,0,424,356,7,4,5,6,2,0,44,0,13,26,40,22,0,1,13,5,Brazil,14,2,2,613,537,5,19,49,10,3,0,55,0,17,9,37,16,4,0,21,9,False
Serbia,Costa Rica,2057979,9,1,0,379,313,5,5,6,8,6,0,41,0,18,14,56,27,2,1,24,4,Costa Rica,10,0,0,427,363,5,2,0,6,4,0,38,0,18,15,52,20,3,3,22,5,True
Serbia,Switzerland,2057981,11,1,1,278,228,4,9,0,11,5,0,33,0,10,18,58,27,2,2,23,3,Switzerland,18,2,0,494,429,4,5,27,13,5,0,29,0,11,11,56,18,1,1,18,7,False
Spain,Iran,2057963,12,1,0,760,683,3,3,0,11,6,0,22,0,8,25,41,19,2,0,22,6,Iran,5,0,0,201,145,7,3,21,5,2,0,62,0,37,11,42,15,2,2,16,2,True
Spain,Morocco,2057965,15,2,2,718,661,4,5,6,6,4,0,20,0,2,18,19,8,0,0,21,7,Morocco,6,2,1,226,192,4,7,25,6,1,0,47,0,22,5,24,13,2,1,10,1,False
Spain,Portugal,2057960,11,3,1,735,689,5,6,4,11,4,0,33,0,11,13,28,12,0,2,21,5,Portugal,5,3,0,349,300,4,8,18,4,2,0,25,0,7,12,29,15,3,3,17,4,False
Spain,Russia,2058004,22,3,0,1078,994,4,6,4,14,5,0,34,0,8,17,58,25,0,0,34,6,Russia,5,5,0,261,197,6,9,8,4,2,1,61,0,30,10,61,30,1,3,27,5,False
Sweden,England,2058013,6,0,0,345,280,2,6,3,7,2,0,57,0,25,21,64,22,1,0,28,1,England,11,2,2,485,402,1,14,10,11,0,0,43,0,5,28,64,30,0,0,23,6,False
Sweden,Germany,2057986,6,1,1,203,153,3,3,23,5,1,0,61,0,14,9,42,20,2,2,16,3,Germany,16,2,0,678,602,3,8,10,13,8,0,27,0,9,45,40,15,1,2,22,8,False
Sweden,Korea Republic,2057985,14,1,0,416,356,6,1,4,7,5,0,36,0,19,13,57,28,2,0,28,6,Korea Republic,5,0,0,334,268,10,10,17,2,2,0,48,0,17,14,54,23,6,1,18,5,True
Sweden,Mexico,2057989,12,2,0,207,149,4,5,22,10,7,0,45,0,24,8,54,23,1,2,11,3,Mexico,18,0,0,428,364,6,3,0,15,2,1,30,0,7,23,51,22,0,0,25,7,True
Sweden,Switzerland,2058008,9,1,1,247,192,3,5,11,10,3,0,64,0,31,9,38,21,4,3,17,3,Switzerland,16,0,0,558,476,0,9,0,9,4,0,32,0,9,32,39,14,0,0,20,11,True
Switzerland,Brazil,2057978,6,1,1,425,352,8,6,13,4,1,0,48,0,15,10,21,9,0,4,19,2,Brazil,18,1,0,519,452,3,5,4,11,4,0,47,0,6,17,23,10,2,1,10,7,False
Switzerland,Costa Rica,2057983,11,2,2,542,481,5,7,2,9,2,1,26,0,12,14,30,10,1,4,20,6,Costa Rica,13,1,1,329,272,5,6,19,12,4,0,34,0,14,13,38,23,5,0,21,5,True
Switzerland,Serbia,2057981,18,2,0,494,429,4,5,27,13,5,0,29,0,11,11,56,18,1,1,18,7,Serbia,11,1,1,278,228,4,9,0,11,5,0,33,0,10,18,58,27,2,2,23,3,True
Switzerland,Sweden,2058008,16,0,0,558,476,0,9,0,9,4,0,32,0,9,32,39,14,0,0,20,11,Sweden,9,1,1,247,192,3,5,11,10,3,0,64,0,31,9,38,21,4,3,17,3,False
Tunisia,Belgium,2057992,12,2,2,367,298,6,4,5,10,1,0,34,0,8,12,16,8,1,4,13,2,Belgium,22,5,4,427,358,4,12,23,18,6,0,38,0,12,15,15,7,1,3,16,5,False
Tunisia,England,2057991,5,1,0,294,240,9,6,0,0,0,0,38,0,17,2,29,8,1,2,7,2,England,12,2,1,504,443,1,5,4,11,8,0,26,0,3,14,27,19,0,0,26,7,False
Tunisia,Panama,2057995,15,2,2,559,495,4,6,32,14,5,1,26,0,8,21,44,24,0,0,17,6,Panama,6,0,0,235,184,4,2,3,6,0,0,35,0,13,3,44,17,2,0,19,0,True
Uruguay,Egypt,2057955,11,1,1,579,499,2,5,0,11,1,0,50,0,16,17,46,30,1,3,17,5,Egypt,7,0,0,421,345,1,10,28,4,0,0,49,0,17,12,44,11,4,1,25,0,True
Uruguay,France,2058010,9,0,0,304,227,3,7,24,6,1,0,41,0,15,31,65,23,2,1,24,4,France,8,2,2,510,417,2,3,11,6,2,0,54,0,12,13,66,36,1,1,24,3,False
Uruguay,Portugal,2058002,6,2,2,238,185,9,5,11,5,1,0,56,0,32,9,49,21,6,3,16,2,Portugal,18,1,1,538,455,6,14,0,10,0,0,39,0,9,41,49,20,1,2,20,10,True
Uruguay,Russia,2057958,12,2,0,466,405,1,4,16,11,2,0,20,0,5,10,42,16,2,0,23,4,Russia,3,0,0,327,271,6,9,15,2,1,1,33,0,18,10,38,21,0,4,14,2,True
Uruguay,Saudi Arabia,2057957,13,1,1,473,410,5,3,18,11,6,0,32,0,13,11,19,9,4,3,21,3,Saudi Arabia,7,0,0,553,482,5,8,18,5,2,0,48,0,9,15,21,7,3,3,23,4,True
